日期,代码,名称,推荐价
2025-12-25,300136,信维通信,50.2
2025-12-25,301005,超捷股份,130.0
2025-12-25,301123,奕东电子,77.6
2025-12-25,603698,航天工程,37.42
2025-12-25,603696,安记食品,28.38
2025-12-25,603696,安记食品,26.5
2025-12-25,301005,超捷股份,134.93
2025-12-25,000859,国风新材,11.56
2025-12-25,603698,航天工程,37.42
2025-12-25,002149,西部材料,46.2
2025-12-25,300136,信维通信,50.7
2025-12-25,002759,天际股份,45.0
2025-12-25,301123,奕东电子,79.16
2025-12-25,603696,安记食品,26.5
2025-12-25,600693,东百集团,20.91
2025-12-25,301005,超捷股份,134.93
2025-12-25,301123,奕东电子,79.16
2025-12-25,000859,国风新材,11.56
2025-12-25,603696,安记食品,26.5
2025-12-25,603698,航天工程,37.42
code,name,target_gain
300342,天银机电,164.92
300900,广联航空,153.38
600343,航天动力,158.67
688102,斯瑞新材,164.05
600879,航天电子,123.65
